candidate,protocol,scene_token,sample_token,frame_idx,gt_token,gt_instance_token,gt_class,reason
b4_zero,compound,325cef682f064c55a255f2625c533b75,b6c420c3a5bd4a219b1cb82ee5ea0aa7,17,badd17e97fa04150b7a1f0ffe83b9b86,56c32476c6b1417e816ea238f30249f2,motorcycle,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,fa65a298c01f44e7a182bbf9e5fe3697,8,117d88fef26843a8b8befbef6bb361c9,200c440c0e9b4627ad4f3047227016a2,car,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,fa65a298c01f44e7a182bbf9e5fe3697,8,794ef43b1c1546d88b09e5030cea5fdd,abdeb2ae1d884b4dbd6f38f699d453bd,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,a98fba72bde9433fb882032d18aedb2e,9,2b83792c3f4b45cf9d632421128ade07,09810748e6c04aacb393ebf14fafa5e8,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,b6b0d9f2f2e14a3aaa2c8aedeb1edb69,10,da658810bfe64358b77ea6192f8a68b1,abdeb2ae1d884b4dbd6f38f699d453bd,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,796b1988dd254f74bf2fb19ba9c5b8c6,11,5bbe47091bb04678ba7c23fa9bbcddaf,9c5151b34911482f8155ab55c3f5d32f,car,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,0d0700a2284e477db876c3ee1d864668,12,ce57f1e08f99479e87c963ce63328261,f1010738ac3a4f56b936fa3a077571b5,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,0d0700a2284e477db876c3ee1d864668,12,fa26b4ef10864fdb854e8eb0a20f79c1,ff7dc6c94901476e9b5f6198e3b2103f,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,de7593d76648450e947ba0c203dee1b0,13,3e050c4ab3ae43ddadbcb48f0f10f611,fa107c6dd0dc4d15b94b86cbf5b990c0,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,f753d3f87e5b40af87ff2cbf7c8e7082,14,b5be02d305d14d3ca7b4cd5146b99fcb,f3995943006145ca8a7bc375527f0aba,car,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,15,8db6abbc78394cb3aea7ee03fb8f47b8,72137291381349428afb1038d4e5898c,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,0a0d6b8c2e884134a3b48df43d54c36a,16,3219df0be6764e9e955e91f5eca4332e,e73ba8faf67d40c8b6b653489393ef8b,car,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_10,325cef682f064c55a255f2625c533b75,b1303058fa624645b753d7283d70de45,15,b73da263d8574a48a43b0e41249715de,9ca01ff2a1b54d2eafaed768e58783ad,car,clean-supported GT absent after fault and no correct trigger
b6_zero,camera_crash_10,325cef682f064c55a255f2625c533b75,b6c420c3a5bd4a219b1cb82ee5ea0aa7,17,159a9a34a19e4eeea859ce4db97511da,d71462c2ae74472bae3adbf7a41b2fc7,car,clean-supported GT absent after fault and no correct trigger
b6_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,de7593d76648450e947ba0c203dee1b0,13,3e050c4ab3ae43ddadbcb48f0f10f611,fa107c6dd0dc4d15b94b86cbf5b990c0,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,de7593d76648450e947ba0c203dee1b0,13,89edeac56671453a8e057775575faa6b,0809d64df9264121bead0772ee9b5984,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,f753d3f87e5b40af87ff2cbf7c8e7082,14,b5be02d305d14d3ca7b4cd5146b99fcb,f3995943006145ca8a7bc375527f0aba,car,clean-supported GT absent after fault and no correct trigger
b6_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,f753d3f87e5b40af87ff2cbf7c8e7082,14,ef7274e015f2400597efa7e4c4887c28,eaaf60765ee8478f8e0bd4942571c6fb,car,clean-supported GT absent after fault and no correct trigger
b6_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,15,8db6abbc78394cb3aea7ee03fb8f47b8,72137291381349428afb1038d4e5898c,pedestrian,clean-supported GT absent after fault and no correct trigger
b4_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,fa65a298c01f44e7a182bbf9e5fe3697,8,117d88fef26843a8b8befbef6bb361c9,200c440c0e9b4627ad4f3047227016a2,car,clean-supported GT absent after fault and no correct trigger
b4_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,fa65a298c01f44e7a182bbf9e5fe3697,8,794ef43b1c1546d88b09e5030cea5fdd,abdeb2ae1d884b4dbd6f38f699d453bd,pedestrian,clean-supported GT absent after fault and no correct trigger
b4_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,a98fba72bde9433fb882032d18aedb2e,9,2b83792c3f4b45cf9d632421128ade07,09810748e6c04aacb393ebf14fafa5e8,pedestrian,clean-supported GT absent after fault and no correct trigger
b4_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,b6b0d9f2f2e14a3aaa2c8aedeb1edb69,10,da658810bfe64358b77ea6192f8a68b1,abdeb2ae1d884b4dbd6f38f699d453bd,pedestrian,clean-supported GT absent after fault and no correct trigger
b4_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,796b1988dd254f74bf2fb19ba9c5b8c6,11,5bbe47091bb04678ba7c23fa9bbcddaf,9c5151b34911482f8155ab55c3f5d32f,car,clean-supported GT absent after fault and no correct trigger
b4_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,0d0700a2284e477db876c3ee1d864668,12,ce57f1e08f99479e87c963ce63328261,f1010738ac3a4f56b936fa3a077571b5,pedestrian,clean-supported GT absent after fault and no correct trigger
b4_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,0d0700a2284e477db876c3ee1d864668,12,fa26b4ef10864fdb854e8eb0a20f79c1,ff7dc6c94901476e9b5f6198e3b2103f,pedestrian,clean-supported GT absent after fault and no correct trigger
b4_50iter,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,f753d3f87e5b40af87ff2cbf7c8e7082,14,b5be02d305d14d3ca7b4cd5146b99fcb,f3995943006145ca8a7bc375527f0aba,car,clean-supported GT absent after fault and no correct trigger
b4_50iter,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,0a0d6b8c2e884134a3b48df43d54c36a,16,3219df0be6764e9e955e91f5eca4332e,e73ba8faf67d40c8b6b653489393ef8b,car,clean-supported GT absent after fault and no correct trigger
b4_50iter,camera_crash_10,325cef682f064c55a255f2625c533b75,a19a80c905674faab7203a3a4e0f5246,16,d9bb7b51f47b457c9f88962d395505f3,63510eb8f6ed4b3189002b1f2648ea1f,car,clean-supported GT absent after fault and no correct trigger
b4_50iter,camera_crash_10,325cef682f064c55a255f2625c533b75,b6c420c3a5bd4a219b1cb82ee5ea0aa7,17,badd17e97fa04150b7a1f0ffe83b9b86,56c32476c6b1417e816ea238f30249f2,motorcycle,clean-supported GT absent after fault and no correct trigger
b4_50iter,compound,fcbccedd61424f1b85dcbf8f897f9754,de7593d76648450e947ba0c203dee1b0,13,3e050c4ab3ae43ddadbcb48f0f10f611,fa107c6dd0dc4d15b94b86cbf5b990c0,pedestrian,clean-supported GT absent after fault and no correct trigger
b4_50iter,compound,fcbccedd61424f1b85dcbf8f897f9754,de7593d76648450e947ba0c203dee1b0,13,89edeac56671453a8e057775575faa6b,0809d64df9264121bead0772ee9b5984,pedestrian,clean-supported GT absent after fault and no correct trigger
b4_50iter,compound,fcbccedd61424f1b85dcbf8f897f9754,f753d3f87e5b40af87ff2cbf7c8e7082,14,b5be02d305d14d3ca7b4cd5146b99fcb,f3995943006145ca8a7bc375527f0aba,car,clean-supported GT absent after fault and no correct trigger
b4_50iter,compound,325cef682f064c55a255f2625c533b75,b6c420c3a5bd4a219b1cb82ee5ea0aa7,17,badd17e97fa04150b7a1f0ffe83b9b86,56c32476c6b1417e816ea238f30249f2,motorcycle,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,fa65a298c01f44e7a182bbf9e5fe3697,8,117d88fef26843a8b8befbef6bb361c9,200c440c0e9b4627ad4f3047227016a2,car,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,fa65a298c01f44e7a182bbf9e5fe3697,8,794ef43b1c1546d88b09e5030cea5fdd,abdeb2ae1d884b4dbd6f38f699d453bd,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,a98fba72bde9433fb882032d18aedb2e,9,2b83792c3f4b45cf9d632421128ade07,09810748e6c04aacb393ebf14fafa5e8,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,b6b0d9f2f2e14a3aaa2c8aedeb1edb69,10,da658810bfe64358b77ea6192f8a68b1,abdeb2ae1d884b4dbd6f38f699d453bd,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,796b1988dd254f74bf2fb19ba9c5b8c6,11,5bbe47091bb04678ba7c23fa9bbcddaf,9c5151b34911482f8155ab55c3f5d32f,car,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,0d0700a2284e477db876c3ee1d864668,12,ce57f1e08f99479e87c963ce63328261,f1010738ac3a4f56b936fa3a077571b5,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,0d0700a2284e477db876c3ee1d864668,12,fa26b4ef10864fdb854e8eb0a20f79c1,ff7dc6c94901476e9b5f6198e3b2103f,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,de7593d76648450e947ba0c203dee1b0,13,3e050c4ab3ae43ddadbcb48f0f10f611,fa107c6dd0dc4d15b94b86cbf5b990c0,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,f753d3f87e5b40af87ff2cbf7c8e7082,14,b5be02d305d14d3ca7b4cd5146b99fcb,f3995943006145ca8a7bc375527f0aba,car,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,15,8db6abbc78394cb3aea7ee03fb8f47b8,72137291381349428afb1038d4e5898c,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,0a0d6b8c2e884134a3b48df43d54c36a,16,3219df0be6764e9e955e91f5eca4332e,e73ba8faf67d40c8b6b653489393ef8b,car,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_10,325cef682f064c55a255f2625c533b75,61a7bd24f88a46c2963280d8b13ac675,13,87f049cecfe048b99fabe16b9aec6b1b,9ca01ff2a1b54d2eafaed768e58783ad,car,clean-supported GT absent after fault and no correct trigger
b6_50iter,camera_crash_10,325cef682f064c55a255f2625c533b75,a19a80c905674faab7203a3a4e0f5246,16,d9bb7b51f47b457c9f88962d395505f3,63510eb8f6ed4b3189002b1f2648ea1f,car,clean-supported GT absent after fault and no correct trigger
b6_50iter,compound,fcbccedd61424f1b85dcbf8f897f9754,de7593d76648450e947ba0c203dee1b0,13,3e050c4ab3ae43ddadbcb48f0f10f611,fa107c6dd0dc4d15b94b86cbf5b990c0,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_50iter,compound,fcbccedd61424f1b85dcbf8f897f9754,de7593d76648450e947ba0c203dee1b0,13,89edeac56671453a8e057775575faa6b,0809d64df9264121bead0772ee9b5984,pedestrian,clean-supported GT absent after fault and no correct trigger
b6_50iter,compound,fcbccedd61424f1b85dcbf8f897f9754,f753d3f87e5b40af87ff2cbf7c8e7082,14,b5be02d305d14d3ca7b4cd5146b99fcb,f3995943006145ca8a7bc375527f0aba,car,clean-supported GT absent after fault and no correct trigger
b6_50iter,compound,fcbccedd61424f1b85dcbf8f897f9754,f753d3f87e5b40af87ff2cbf7c8e7082,14,ef7274e015f2400597efa7e4c4887c28,eaaf60765ee8478f8e0bd4942571c6fb,car,clean-supported GT absent after fault and no correct trigger
b6_50iter,compound,325cef682f064c55a255f2625c533b75,b6c420c3a5bd4a219b1cb82ee5ea0aa7,17,badd17e97fa04150b7a1f0ffe83b9b86,56c32476c6b1417e816ea238f30249f2,motorcycle,clean-supported GT absent after fault and no correct trigger
